load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,StoragePowerNet,StorageNetDisCharge,WithdrawFromCentralGrid,StorageNetCharge
Chongqing,2025-01-22_00:00,13993.2,3512.97,0,0,17506.2,0
Chongqing,2025-01-22_04:00,14158,-38.8601,0,0,14119.2,0
Chongqing,2025-01-22_08:00,14076.5,561.107,0,0,14637.7,0
Chongqing,2025-01-22_12:00,14878.9,3411.26,0,0,18290.2,0
Chongqing,2025-01-22_16:00,16788.2,2725.93,0,0,19514.1,0
Chongqing,2025-01-22_20:00,15225.4,3206.96,0,0,18432.3,0
Chongqing,2025-02-08_00:00,16824.5,-1438.94,0,0,15385.6,0
Chongqing,2025-02-08_04:00,14432.2,-2023.29,0,0,12408.9,0
Chongqing,2025-02-08_08:00,14979.6,-2121.62,0,0,12858,0
Chongqing,2025-02-08_12:00,11965,4225.93,0,0,16191,0
Chongqing,2025-02-08_16:00,12663.4,4724.75,0,0,17388.1,0
Chongqing,2025-02-08_20:00,15287.5,475.539,0,0,15763,0
Chongqing,2025-03-21_00:00,15443.9,437.961,0,0,15881.9,0
Chongqing,2025-03-21_04:00,14624.4,-1815.24,0,0,12809.2,0
Chongqing,2025-03-21_08:00,14307.6,-923.157,0,0,13273.5,110.907
Chongqing,2025-03-21_12:00,14897.9,1735.13,0,0,16544.8,88.2885
Chongqing,2025-03-21_16:00,17698.9,36.3341,0,0,17735.2,0
Chongqing,2025-03-21_20:00,12635.2,4343.12,-117.184,117.184,16978.3,0
Chongqing,2025-04-11_00:00,15260.7,1791.64,0,0,17052.3,0
Chongqing,2025-04-11_04:00,14951.5,-1715.39,0,0,13236.1,0
Chongqing,2025-04-11_08:00,14380.2,-680.686,0,0,13699.5,0
Chongqing,2025-04-11_12:00,18555.3,-1390.91,0,0,17164.3,0
Chongqing,2025-04-11_16:00,14139.2,4225.93,0,0,18365.2,0
Chongqing,2025-04-11_20:00,14119.5,2694.44,0,0,16813.9,0
Chongqing,2025-05-22_00:00,13541.3,3580.23,0,0,17072.1,49.4682
Chongqing,2025-05-22_04:00,11001.3,2098.98,-117.184,117.184,13100.3,0
Chongqing,2025-05-22_08:00,8549.77,5145.4,0,0,13545.4,149.727
Chongqing,2025-05-22_12:00,10459.7,6449.51,0,0,16909.2,0
Chongqing,2025-05-22_16:00,12648.9,5511.81,0,0,18160.7,0
Chongqing,2025-05-22_20:00,11007.5,5633.86,0,0,16641.3,0
Chongqing,2025-06-16_00:00,10658.1,6499.17,0,0,17157.2,0
Chongqing,2025-06-16_04:00,8596.02,5241.75,0,0,13837.8,0
Chongqing,2025-06-16_08:00,8852.32,5435.07,0,0,14287.4,0
Chongqing,2025-06-16_12:00,10995,6812.59,0,0,17807.6,0
Chongqing,2025-06-16_16:00,11816,7278.26,0,0,19094.2,0
Chongqing,2025-06-16_20:00,11674.5,6658.61,0,0,18333.1,0
Chongqing,2025-07-22_00:00,10932.3,7383.34,23.0392,117.184,18455.8,0
Chongqing,2025-07-22_04:00,9890.8,5954.86,100.261,0,15796.2,149.727
Chongqing,2025-07-22_08:00,10104.7,6174.48,0,0,16229.7,49.4682
Chongqing,2025-07-22_12:00,11736.4,7739.41,1079.54,0,20555.3,0
Chongqing,2025-07-22_16:00,14242.7,8268.43,0,0,22511.1,0
Chongqing,2025-07-22_20:00,11639.1,7564.48,1035.28,0,20238.8,0
Chongqing,2025-08-19_00:00,15180.9,8750.63,0,0,23931.6,0
Chongqing,2025-08-19_04:00,11799.5,7057.61,0,0,18707.4,149.727
Chongqing,2025-08-19_08:00,12027.1,7317.9,0,0,19295.5,49.4682
Chongqing,2025-08-19_12:00,13966.2,9172.63,1232.08,65.546,24436.5,0
Chongqing,2025-08-19_16:00,15108.1,8870.58,-51.6384,51.6384,23978.7,0
Chongqing,2025-08-19_20:00,16248.4,8818.94,0,0,25067.4,0
Chongqing,2025-09-20_00:00,11053.1,6923.02,0,0,17976.1,0
Chongqing,2025-09-20_04:00,9563.48,5252.61,0,0,14816.1,0
Chongqing,2025-09-20_08:00,9422.74,5789.53,0,0,15212.3,0
Chongqing,2025-09-20_12:00,11672,7256.89,0,0,18928.9,0
Chongqing,2025-09-20_16:00,13767.2,7752.93,0,0,21520.2,0
Chongqing,2025-09-20_20:00,11706.5,7092.87,0,0,18799.4,0
Chongqing,2025-10-26_00:00,10887.4,6494.61,0,0,17382,0
Chongqing,2025-10-26_04:00,8665.86,5238.07,0,0,13903.9,0
Chongqing,2025-10-26_08:00,8871.91,5431.26,0,0,14303.2,0
Chongqing,2025-10-26_12:00,11223.8,6807.81,0,0,18031.6,0
Chongqing,2025-10-26_16:00,12069.8,7273.16,0,0,19343,0
Chongqing,2025-10-26_20:00,10936.8,6653.94,0,0,17590.7,0
Chongqing,2025-11-19_00:00,13840.8,4225.93,0,0,18017.3,49.4682
Chongqing,2025-11-19_04:00,9762.25,4225.93,0,0,13988.2,0
Chongqing,2025-11-19_08:00,10418.8,4225.93,0,0,14495,149.727
Chongqing,2025-11-19_12:00,13846.1,4225.93,0,0,18072,0
Chongqing,2025-11-19_16:00,19053.7,343.117,-117.184,117.184,19396.8,0
Chongqing,2025-11-19_20:00,13543.3,4225.93,0,0,17769.2,0
Chongqing,2025-12-16_00:00,15085,4225.93,0,0,19310.9,0
Chongqing,2025-12-16_04:00,12416.1,3384.22,0,0,15650.6,149.727
Chongqing,2025-12-16_08:00,11965.4,4225.93,0,0,16141.9,49.4682
Chongqing,2025-12-16_12:00,12551.5,7667.75,0,0,20219.2,0
Chongqing,2025-12-16_16:00,18753,2843.12,-117.184,117.184,21596.1,0
Chongqing,2025-12-16_20:00,15548.9,4235.74,0,0,19784.7,0
Henan,2025-01-22_00:00,42506.9,24518.7,0,0,67025.7,0
Henan,2025-01-22_04:00,36130.2,22031.7,0,0,58161.9,0
Henan,2025-01-22_08:00,36106.4,22766,0,0,58872.3,0
Henan,2025-01-22_12:00,31458.4,21865.9,0,0,53324.2,0
Henan,2025-01-22_16:00,43134,23952.4,0,0,67086.4,0
Henan,2025-01-22_20:00,43043.8,26247.6,0,0,69291.3,0
Henan,2025-02-08_00:00,39141.5,22592.8,0,0,61734.3,0
Henan,2025-02-08_04:00,33292.2,20301.2,0,0,53593.4,0
Henan,2025-02-08_08:00,32986.7,20977.7,0,0,53964.4,0
Henan,2025-02-08_12:00,37813.7,25320.6,0,0,63134.2,0
Henan,2025-02-08_16:00,39103.9,25136.2,0,0,64240.2,0
Henan,2025-02-08_20:00,39813.4,24185.8,0,0,63999.3,0
Henan,2025-03-21_00:00,36538,20872,0,0,57410,0
Henan,2025-03-21_04:00,30756.4,18754.9,0,0,49511.2,0
