GENERATION_PROJECT,timepoints,dispatch_slack_up
Anhui-Central_PV-2022,2025.01.22.00,0
Anhui-Central_PV-2022,2025.01.22.04,0
Anhui-Central_PV-2022,2025.01.22.08,0
Anhui-Central_PV-2022,2025.01.22.12,0
Anhui-Central_PV-2022,2025.01.22.16,0
Anhui-Central_PV-2022,2025.01.22.20,0
Anhui-Central_PV-2022,2025.02.08.00,0
Anhui-Central_PV-2022,2025.02.08.04,0
Anhui-Central_PV-2022,2025.02.08.08,0
Anhui-Central_PV-2022,2025.02.08.12,0
Anhui-Central_PV-2022,2025.02.08.16,0
Anhui-Central_PV-2022,2025.02.08.20,0
Anhui-Central_PV-2022,2025.03.21.00,0
Anhui-Central_PV-2022,2025.03.21.04,0
Anhui-Central_PV-2022,2025.03.21.08,0
Anhui-Central_PV-2022,2025.03.21.12,0
Anhui-Central_PV-2022,2025.03.21.16,0
Anhui-Central_PV-2022,2025.03.21.20,0
Anhui-Central_PV-2022,2025.04.11.00,0
Anhui-Central_PV-2022,2025.04.11.04,0
Anhui-Central_PV-2022,2025.04.11.08,0
Anhui-Central_PV-2022,2025.04.11.12,0
Anhui-Central_PV-2022,2025.04.11.16,0
Anhui-Central_PV-2022,2025.04.11.20,0
Anhui-Central_PV-2022,2025.05.22.00,0
Anhui-Central_PV-2022,2025.05.22.04,0
Anhui-Central_PV-2022,2025.05.22.08,0
Anhui-Central_PV-2022,2025.05.22.12,0
Anhui-Central_PV-2022,2025.05.22.16,0
Anhui-Central_PV-2022,2025.05.22.20,0
Anhui-Central_PV-2022,2025.06.16.00,0
Anhui-Central_PV-2022,2025.06.16.04,0
Anhui-Central_PV-2022,2025.06.16.08,0
Anhui-Central_PV-2022,2025.06.16.12,0
Anhui-Central_PV-2022,2025.06.16.16,0
Anhui-Central_PV-2022,2025.06.16.20,0
Anhui-Central_PV-2022,2025.07.22.00,0
Anhui-Central_PV-2022,2025.07.22.04,0
Anhui-Central_PV-2022,2025.07.22.08,0
Anhui-Central_PV-2022,2025.07.22.12,0
Anhui-Central_PV-2022,2025.07.22.16,0
Anhui-Central_PV-2022,2025.07.22.20,0
Anhui-Central_PV-2022,2025.08.19.00,0
Anhui-Central_PV-2022,2025.08.19.04,0
Anhui-Central_PV-2022,2025.08.19.08,0
Anhui-Central_PV-2022,2025.08.19.12,0
Anhui-Central_PV-2022,2025.08.19.16,0
Anhui-Central_PV-2022,2025.08.19.20,0
Anhui-Central_PV-2022,2025.09.20.00,0
Anhui-Central_PV-2022,2025.09.20.04,0
Anhui-Central_PV-2022,2025.09.20.08,0
Anhui-Central_PV-2022,2025.09.20.12,0
Anhui-Central_PV-2022,2025.09.20.16,0
Anhui-Central_PV-2022,2025.09.20.20,0
Anhui-Central_PV-2022,2025.10.26.00,0
Anhui-Central_PV-2022,2025.10.26.04,0
Anhui-Central_PV-2022,2025.10.26.08,0
Anhui-Central_PV-2022,2025.10.26.12,0
Anhui-Central_PV-2022,2025.10.26.16,0
Anhui-Central_PV-2022,2025.10.26.20,0
Anhui-Central_PV-2022,2025.11.19.00,0
Anhui-Central_PV-2022,2025.11.19.04,0
Anhui-Central_PV-2022,2025.11.19.08,0
Anhui-Central_PV-2022,2025.11.19.12,0
Anhui-Central_PV-2022,2025.11.19.16,0
Anhui-Central_PV-2022,2025.11.19.20,0
Anhui-Central_PV-2022,2025.12.16.00,0
Anhui-Central_PV-2022,2025.12.16.04,0
Anhui-Central_PV-2022,2025.12.16.08,0
Anhui-Central_PV-2022,2025.12.16.12,0
Anhui-Central_PV-2022,2025.12.16.16,0
Anhui-Central_PV-2022,2025.12.16.20,0
Anhui-Coal-2022,2025.01.22.00,0
Anhui-Coal-2022,2025.01.22.04,0
Anhui-Coal-2022,2025.01.22.08,7696.07
Anhui-Coal-2022,2025.01.22.12,15286.2
Anhui-Coal-2022,2025.01.22.16,5817.32
Anhui-Coal-2022,2025.01.22.20,4693.14
Anhui-Coal-2022,2025.02.08.00,22886.3
Anhui-Coal-2022,2025.02.08.04,26385.1
Anhui-Coal-2022,2025.02.08.08,15806.2
Anhui-Coal-2022,2025.02.08.12,27719.2
Anhui-Coal-2022,2025.02.08.16,20800.3
Anhui-Coal-2022,2025.02.08.20,12668.1
Anhui-Coal-2022,2025.03.21.00,20650.3
Anhui-Coal-2022,2025.03.21.04,29023.2
Anhui-Coal-2022,2025.03.21.08,0
Anhui-Coal-2022,2025.03.21.12,22252.4
Anhui-Coal-2022,2025.03.21.16,12034.2
Anhui-Coal-2022,2025.03.21.20,11379.9
Anhui-Coal-2022,2025.04.11.00,22814.5
Anhui-Coal-2022,2025.04.11.04,0
Anhui-Coal-2022,2025.04.11.08,0
Anhui-Coal-2022,2025.04.11.12,10927.3
Anhui-Coal-2022,2025.04.11.16,15442.8
Anhui-Coal-2022,2025.04.11.20,13043.3
Anhui-Coal-2022,2025.05.22.00,28150.2
Anhui-Coal-2022,2025.05.22.04,19069.5
Anhui-Coal-2022,2025.05.22.08,12918.1
Anhui-Coal-2022,2025.05.22.12,0
Anhui-Coal-2022,2025.05.22.16,27444.3
Anhui-Coal-2022,2025.05.22.20,20999.4
Anhui-Coal-2022,2025.06.16.00,23492.4
Anhui-Coal-2022,2025.06.16.04,25818
Anhui-Coal-2022,2025.06.16.08,17489.6
Anhui-Coal-2022,2025.06.16.12,18418.8
Anhui-Coal-2022,2025.06.16.16,27535
Anhui-Coal-2022,2025.06.16.20,17316.8
Anhui-Coal-2022,2025.07.22.00,0
Anhui-Coal-2022,2025.07.22.04,0
Anhui-Coal-2022,2025.07.22.08,29040.4
Anhui-Coal-2022,2025.07.22.12,29291.5
Anhui-Coal-2022,2025.07.22.16,19661.7
Anhui-Coal-2022,2025.07.22.20,9443.49
Anhui-Coal-2022,2025.08.19.00,0
Anhui-Coal-2022,2025.08.19.04,0
Anhui-Coal-2022,2025.08.19.08,0
Anhui-Coal-2022,2025.08.19.12,1743.62
Anhui-Coal-2022,2025.08.19.16,10237.4
Anhui-Coal-2022,2025.08.19.20,1564.98
Anhui-Coal-2022,2025.09.20.00,8141.62
Anhui-Coal-2022,2025.09.20.04,29632.8
Anhui-Coal-2022,2025.09.20.08,20073.8
Anhui-Coal-2022,2025.09.20.12,0
Anhui-Coal-2022,2025.09.20.16,26082
Anhui-Coal-2022,2025.09.20.20,15863.8
Anhui-Coal-2022,2025.10.26.00,24128.7
Anhui-Coal-2022,2025.10.26.04,25222.8
Anhui-Coal-2022,2025.10.26.08,17086.4
Anhui-Coal-2022,2025.10.26.12,1510.08
Anhui-Coal-2022,2025.10.26.16,25029.1
Anhui-Coal-2022,2025.10.26.20,14810.9
Anhui-Coal-2022,2025.11.19.00,1346.64
Anhui-Coal-2022,2025.11.19.04,0
Anhui-Coal-2022,2025.11.19.08,9080.79
Anhui-Coal-2022,2025.11.19.12,0
Anhui-Coal-2022,2025.11.19.16,2264.61
Anhui-Coal-2022,2025.11.19.20,11254.3
Anhui-Coal-2022,2025.12.16.00,9814.18
Anhui-Coal-2022,2025.12.16.04,20032.4
Anhui-Coal-2022,2025.12.16.08,17619.8
Anhui-Coal-2022,2025.12.16.12,29497.9
Anhui-Coal-2022,2025.12.16.16,19279.7
Anhui-Coal-2022,2025.12.16.20,9061.49
Anhui-Gas-2022,2025.01.22.00,0
Anhui-Gas-2022,2025.01.22.04,0
Anhui-Gas-2022,2025.01.22.08,0
Anhui-Gas-2022,2025.01.22.12,0
Anhui-Gas-2022,2025.01.22.16,0
Anhui-Gas-2022,2025.01.22.20,0
Anhui-Gas-2022,2025.02.08.00,0
Anhui-Gas-2022,2025.02.08.04,0
Anhui-Gas-2022,2025.02.08.08,0
Anhui-Gas-2022,2025.02.08.12,0
Anhui-Gas-2022,2025.02.08.16,0
Anhui-Gas-2022,2025.02.08.20,0
Anhui-Gas-2022,2025.03.21.00,0
Anhui-Gas-2022,2025.03.21.04,0
Anhui-Gas-2022,2025.03.21.08,0
Anhui-Gas-2022,2025.03.21.12,0
Anhui-Gas-2022,2025.03.21.16,0
Anhui-Gas-2022,2025.03.21.20,0
Anhui-Gas-2022,2025.04.11.00,0
Anhui-Gas-2022,2025.04.11.04,0
Anhui-Gas-2022,2025.04.11.08,0
Anhui-Gas-2022,2025.04.11.12,0
Anhui-Gas-2022,2025.04.11.16,0
Anhui-Gas-2022,2025.04.11.20,0
Anhui-Gas-2022,2025.05.22.00,0
Anhui-Gas-2022,2025.05.22.04,0
Anhui-Gas-2022,2025.05.22.08,0
Anhui-Gas-2022,2025.05.22.12,0
Anhui-Gas-2022,2025.05.22.16,0
Anhui-Gas-2022,2025.05.22.20,0
Anhui-Gas-2022,2025.06.16.00,0
Anhui-Gas-2022,2025.06.16.04,0
Anhui-Gas-2022,2025.06.16.08,0
Anhui-Gas-2022,2025.06.16.12,0
Anhui-Gas-2022,2025.06.16.16,0
Anhui-Gas-2022,2025.06.16.20,0
Anhui-Gas-2022,2025.07.22.00,0
Anhui-Gas-2022,2025.07.22.04,0
Anhui-Gas-2022,2025.07.22.08,0
Anhui-Gas-2022,2025.07.22.12,0
Anhui-Gas-2022,2025.07.22.16,0
Anhui-Gas-2022,2025.07.22.20,0
Anhui-Gas-2022,2025.08.19.00,0
