GENERATION_PROJECT,timepoints,dispatch_slack_up
Anhui-Central_PV-2022,2025.01.22.00,0
Anhui-Central_PV-2022,2025.01.22.04,0
Anhui-Central_PV-2022,2025.01.22.08,0
Anhui-Central_PV-2022,2025.01.22.12,0
Anhui-Central_PV-2022,2025.01.22.16,0
Anhui-Central_PV-2022,2025.01.22.20,0
Anhui-Central_PV-2022,2025.02.08.00,0
Anhui-Central_PV-2022,2025.02.08.04,0
Anhui-Central_PV-2022,2025.02.08.08,0
Anhui-Central_PV-2022,2025.02.08.12,0
Anhui-Central_PV-2022,2025.02.08.16,0
Anhui-Central_PV-2022,2025.02.08.20,0
Anhui-Central_PV-2022,2025.03.21.00,0
Anhui-Central_PV-2022,2025.03.21.04,0
Anhui-Central_PV-2022,2025.03.21.08,0
Anhui-Central_PV-2022,2025.03.21.12,0
Anhui-Central_PV-2022,2025.03.21.16,0
Anhui-Central_PV-2022,2025.03.21.20,0
Anhui-Central_PV-2022,2025.04.11.00,0
Anhui-Central_PV-2022,2025.04.11.04,0
Anhui-Central_PV-2022,2025.04.11.08,0
Anhui-Central_PV-2022,2025.04.11.12,0
Anhui-Central_PV-2022,2025.04.11.16,0
Anhui-Central_PV-2022,2025.04.11.20,0
Anhui-Central_PV-2022,2025.05.22.00,0
Anhui-Central_PV-2022,2025.05.22.04,0
Anhui-Central_PV-2022,2025.05.22.08,0
Anhui-Central_PV-2022,2025.05.22.12,0
Anhui-Central_PV-2022,2025.05.22.16,0
Anhui-Central_PV-2022,2025.05.22.20,0
Anhui-Central_PV-2022,2025.06.16.00,0
Anhui-Central_PV-2022,2025.06.16.04,0
Anhui-Central_PV-2022,2025.06.16.08,0
Anhui-Central_PV-2022,2025.06.16.12,0
Anhui-Central_PV-2022,2025.06.16.16,0
Anhui-Central_PV-2022,2025.06.16.20,0
Anhui-Central_PV-2022,2025.07.22.00,0
Anhui-Central_PV-2022,2025.07.22.04,0
Anhui-Central_PV-2022,2025.07.22.08,0
Anhui-Central_PV-2022,2025.07.22.12,0
Anhui-Central_PV-2022,2025.07.22.16,0
Anhui-Central_PV-2022,2025.07.22.20,0
Anhui-Central_PV-2022,2025.08.19.00,0
Anhui-Central_PV-2022,2025.08.19.04,0
Anhui-Central_PV-2022,2025.08.19.08,0
Anhui-Central_PV-2022,2025.08.19.12,0
Anhui-Central_PV-2022,2025.08.19.16,0
Anhui-Central_PV-2022,2025.08.19.20,0
Anhui-Central_PV-2022,2025.09.20.00,0
Anhui-Central_PV-2022,2025.09.20.04,0
Anhui-Central_PV-2022,2025.09.20.08,0
Anhui-Central_PV-2022,2025.09.20.12,0
Anhui-Central_PV-2022,2025.09.20.16,0
Anhui-Central_PV-2022,2025.09.20.20,0
Anhui-Central_PV-2022,2025.10.26.00,0
Anhui-Central_PV-2022,2025.10.26.04,0
Anhui-Central_PV-2022,2025.10.26.08,0
Anhui-Central_PV-2022,2025.10.26.12,0
Anhui-Central_PV-2022,2025.10.26.16,0
Anhui-Central_PV-2022,2025.10.26.20,0
Anhui-Central_PV-2022,2025.11.19.00,0
Anhui-Central_PV-2022,2025.11.19.04,0
Anhui-Central_PV-2022,2025.11.19.08,0
Anhui-Central_PV-2022,2025.11.19.12,0
Anhui-Central_PV-2022,2025.11.19.16,0
Anhui-Central_PV-2022,2025.11.19.20,0
Anhui-Central_PV-2022,2025.12.16.00,0
Anhui-Central_PV-2022,2025.12.16.04,0
Anhui-Central_PV-2022,2025.12.16.08,0
Anhui-Central_PV-2022,2025.12.16.12,0
Anhui-Central_PV-2022,2025.12.16.16,0
Anhui-Central_PV-2022,2025.12.16.20,0
Anhui-Coal-2022,2025.01.22.00,6233.71
Anhui-Coal-2022,2025.01.22.04,7516.25
Anhui-Coal-2022,2025.01.22.08,0
Anhui-Coal-2022,2025.01.22.12,0
Anhui-Coal-2022,2025.01.22.16,0
Anhui-Coal-2022,2025.01.22.20,2577.11
Anhui-Coal-2022,2025.02.08.00,20757.9
Anhui-Coal-2022,2025.02.08.04,28376.2
Anhui-Coal-2022,2025.02.08.08,0
Anhui-Coal-2022,2025.02.08.12,21824.1
Anhui-Coal-2022,2025.02.08.16,11814.4
Anhui-Coal-2022,2025.02.08.20,0
Anhui-Coal-2022,2025.03.21.00,0
Anhui-Coal-2022,2025.03.21.04,0
Anhui-Coal-2022,2025.03.21.08,0
Anhui-Coal-2022,2025.03.21.12,0
Anhui-Coal-2022,2025.03.21.16,5221.13
Anhui-Coal-2022,2025.03.21.20,7536.77
Anhui-Coal-2022,2025.04.11.00,0
Anhui-Coal-2022,2025.04.11.04,2370.72
Anhui-Coal-2022,2025.04.11.08,12314.6
Anhui-Coal-2022,2025.04.11.12,0
Anhui-Coal-2022,2025.04.11.16,11641
Anhui-Coal-2022,2025.04.11.20,10179.4
Anhui-Coal-2022,2025.05.22.00,27751.1
Anhui-Coal-2022,2025.05.22.04,18799.2
Anhui-Coal-2022,2025.05.22.08,12734.9
Anhui-Coal-2022,2025.05.22.12,24312.1
Anhui-Coal-2022,2025.05.22.16,23267.5
Anhui-Coal-2022,2025.05.22.20,0
Anhui-Coal-2022,2025.06.16.00,22310
Anhui-Coal-2022,2025.06.16.04,26924.2
Anhui-Coal-2022,2025.06.16.08,18238.9
Anhui-Coal-2022,2025.06.16.12,27665.3
Anhui-Coal-2022,2025.06.16.16,17447.1
Anhui-Coal-2022,2025.06.16.20,0
Anhui-Coal-2022,2025.07.22.00,16785.3
Anhui-Coal-2022,2025.07.22.04,27003.5
Anhui-Coal-2022,2025.07.22.08,19624.1
Anhui-Coal-2022,2025.07.22.12,0
Anhui-Coal-2022,2025.07.22.16,0
Anhui-Coal-2022,2025.07.22.20,0
Anhui-Coal-2022,2025.08.19.00,0
Anhui-Coal-2022,2025.08.19.04,12676
Anhui-Coal-2022,2025.08.19.08,17906.1
Anhui-Coal-2022,2025.08.19.12,14987.7
Anhui-Coal-2022,2025.08.19.16,4769.46
Anhui-Coal-2022,2025.08.19.20,5696.84
Anhui-Coal-2022,2025.09.20.00,23143.2
Anhui-Coal-2022,2025.09.20.04,26654.7
Anhui-Coal-2022,2025.09.20.08,0
Anhui-Coal-2022,2025.09.20.12,25380.3
Anhui-Coal-2022,2025.09.20.16,11878.6
Anhui-Coal-2022,2025.09.20.20,0
Anhui-Coal-2022,2025.10.26.00,12867.5
Anhui-Coal-2022,2025.10.26.04,26054.6
Anhui-Coal-2022,2025.10.26.08,17649.9
Anhui-Coal-2022,2025.10.26.12,29307.7
Anhui-Coal-2022,2025.10.26.16,19089.5
Anhui-Coal-2022,2025.10.26.20,15234
Anhui-Coal-2022,2025.11.19.00,0
Anhui-Coal-2022,2025.11.19.04,0
Anhui-Coal-2022,2025.11.19.08,0
Anhui-Coal-2022,2025.11.19.12,13766.3
Anhui-Coal-2022,2025.11.19.16,9206.54
Anhui-Coal-2022,2025.11.19.20,10326.6
Anhui-Coal-2022,2025.12.16.00,7876.86
Anhui-Coal-2022,2025.12.16.04,1446.89
Anhui-Coal-2022,2025.12.16.08,0
Anhui-Coal-2022,2025.12.16.12,0
Anhui-Coal-2022,2025.12.16.16,8817.82
Anhui-Coal-2022,2025.12.16.20,3409.62
Anhui-Gas-2022,2025.01.22.00,0
Anhui-Gas-2022,2025.01.22.04,0
Anhui-Gas-2022,2025.01.22.08,0
Anhui-Gas-2022,2025.01.22.12,0
Anhui-Gas-2022,2025.01.22.16,0
Anhui-Gas-2022,2025.01.22.20,0
Anhui-Gas-2022,2025.02.08.00,0
Anhui-Gas-2022,2025.02.08.04,0
Anhui-Gas-2022,2025.02.08.08,0
Anhui-Gas-2022,2025.02.08.12,0
Anhui-Gas-2022,2025.02.08.16,0
Anhui-Gas-2022,2025.02.08.20,0
Anhui-Gas-2022,2025.03.21.00,0
Anhui-Gas-2022,2025.03.21.04,0
Anhui-Gas-2022,2025.03.21.08,0
Anhui-Gas-2022,2025.03.21.12,0
Anhui-Gas-2022,2025.03.21.16,0
Anhui-Gas-2022,2025.03.21.20,0
Anhui-Gas-2022,2025.04.11.00,0
Anhui-Gas-2022,2025.04.11.04,0
Anhui-Gas-2022,2025.04.11.08,0
Anhui-Gas-2022,2025.04.11.12,0
Anhui-Gas-2022,2025.04.11.16,0
Anhui-Gas-2022,2025.04.11.20,0
Anhui-Gas-2022,2025.05.22.00,0
Anhui-Gas-2022,2025.05.22.04,0
Anhui-Gas-2022,2025.05.22.08,0
Anhui-Gas-2022,2025.05.22.12,0
Anhui-Gas-2022,2025.05.22.16,0
Anhui-Gas-2022,2025.05.22.20,0
Anhui-Gas-2022,2025.06.16.00,0
Anhui-Gas-2022,2025.06.16.04,0
Anhui-Gas-2022,2025.06.16.08,0
Anhui-Gas-2022,2025.06.16.12,0
Anhui-Gas-2022,2025.06.16.16,0
Anhui-Gas-2022,2025.06.16.20,0
Anhui-Gas-2022,2025.07.22.00,0
Anhui-Gas-2022,2025.07.22.04,0
Anhui-Gas-2022,2025.07.22.08,0
Anhui-Gas-2022,2025.07.22.12,0
Anhui-Gas-2022,2025.07.22.16,0
Anhui-Gas-2022,2025.07.22.20,0
Anhui-Gas-2022,2025.08.19.00,0
Anhui-Gas-2022,2025.08.19.04,0
