load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,StoragePowerNet,StorageNetDisCharge,WithdrawFromCentralGrid,StorageNetCharge
Chongqing,2025-01-22_00:00,13893.4,3618.9,0,0,17512.3,0
Chongqing,2025-01-22_04:00,13975.8,219.211,0,0,14195,0
Chongqing,2025-01-22_08:00,14682,-43.2475,0,0,14638.8,0
Chongqing,2025-01-22_12:00,13931.1,4664.24,0,0,18595.3,0
Chongqing,2025-01-22_16:00,16629.6,3019.75,0,0,19649.3,0
Chongqing,2025-01-22_20:00,14509.5,3475.92,0,0,17985.4,0
Chongqing,2025-02-08_00:00,17101.4,-1527.97,0,0,15573.4,0
Chongqing,2025-02-08_04:00,14082.4,-1597.64,0,0,12484.7,0
Chongqing,2025-02-08_08:00,14005.4,-1141.23,0,0,12864.1,0
Chongqing,2025-02-08_12:00,14234.6,2062.16,0,0,16296.8,0
Chongqing,2025-02-08_16:00,14415.1,2761.13,0,0,17176.2,0
Chongqing,2025-02-08_20:00,14510,1252.99,0,0,15763,0
Chongqing,2025-03-21_00:00,14601.6,1280.24,0,0,15881.9,0
Chongqing,2025-03-21_04:00,14191.9,-1382.73,0,0,12809.2,0
Chongqing,2025-03-21_08:00,14033.5,-755.934,0,0,13277.6,0
Chongqing,2025-03-21_12:00,14328.6,2267.63,0,0,16596.3,0
Chongqing,2025-03-21_16:00,17306.7,453.737,0,0,17760.5,0
Chongqing,2025-03-21_20:00,12458.5,4519.75,0,0,16978.3,0
Chongqing,2025-04-11_00:00,14611.8,2215.34,0,0,16827.2,0
Chongqing,2025-04-11_04:00,14457.2,-1145.25,0,0,13312,0
Chongqing,2025-04-11_08:00,16115.8,-2403.96,0,0,13711.9,0
Chongqing,2025-04-11_12:00,14073.7,3109.78,0,0,17183.5,0
Chongqing,2025-04-11_16:00,15360.9,3011.03,0,0,18371.9,0
Chongqing,2025-04-11_20:00,15161,1802.22,0,0,16963.2,0
Chongqing,2025-05-22_00:00,10563.8,6152.79,0,0,16624.9,91.7528
Chongqing,2025-05-22_04:00,8213.75,4962.38,-117.184,117.184,13176.1,0
Chongqing,2025-05-22_08:00,8439.13,5145.4,0,0,13565.4,19.1541
Chongqing,2025-05-22_12:00,10875.1,6449.51,0,0,17242.7,81.917
Chongqing,2025-05-22_16:00,12647.8,5623.84,0,0,18271.7,0
Chongqing,2025-05-22_20:00,10344,6303.73,0,0,16641.3,6.3715
Chongqing,2025-06-16_00:00,10658.1,6499.17,0,0,17157.2,0
Chongqing,2025-06-16_04:00,8671.89,5241.75,0,0,13913.6,0
Chongqing,2025-06-16_08:00,8884.58,5435.07,0,0,14319.7,0
Chongqing,2025-06-16_12:00,11272.7,6812.59,0,0,18085.3,0
Chongqing,2025-06-16_16:00,12044.8,7278.26,0,0,19323,0
Chongqing,2025-06-16_20:00,11238.6,6658.61,0,0,17897.2,0
Chongqing,2025-07-22_00:00,11405,7383.34,0,0,18788.4,0
Chongqing,2025-07-22_04:00,9991.06,5954.86,0,0,15796.2,149.727
Chongqing,2025-07-22_08:00,10140.9,6174.48,0,0,16265.9,49.4682
Chongqing,2025-07-22_12:00,11040.2,7739.41,1734.07,117.184,20630.9,0
Chongqing,2025-07-22_16:00,13616.7,8268.43,0,0,21885.1,0
Chongqing,2025-07-22_20:00,12797.3,7564.48,200.259,0,20562,0
Chongqing,2025-08-19_00:00,15180.9,8750.63,0,0,23931.6,0
Chongqing,2025-08-19_04:00,12198.9,6658.19,0,0,18707.4,149.727
Chongqing,2025-08-19_08:00,12039.6,7317.9,0,0,19308,49.4682
Chongqing,2025-08-19_12:00,13556.5,9172.63,1734.07,0,24463.2,0
Chongqing,2025-08-19_16:00,14394.9,9590.66,-117.184,117.184,23985.6,0
Chongqing,2025-08-19_20:00,16102.1,8965.31,0,0,25067.4,0
Chongqing,2025-09-20_00:00,11553.1,6923.02,0,0,18476.1,0
Chongqing,2025-09-20_04:00,9232.5,5583.6,0,0,14816.1,0
Chongqing,2025-09-20_08:00,9459.49,5789.53,0,0,15249,0
Chongqing,2025-09-20_12:00,11786.3,7256.89,0,0,19043.2,0
Chongqing,2025-09-20_16:00,12998.2,7752.93,0,0,20751.1,0
Chongqing,2025-09-20_20:00,12013.4,7092.87,0,0,19106.3,0
Chongqing,2025-10-26_00:00,10650.6,6494.61,0,0,17145.2,0
Chongqing,2025-10-26_04:00,8665.86,5238.07,0,0,13903.9,0
Chongqing,2025-10-26_08:00,8891.25,5431.26,0,0,14322.5,0
Chongqing,2025-10-26_12:00,11409.9,6807.81,0,0,18217.7,0
Chongqing,2025-10-26_16:00,11943.2,7273.16,0,0,19216.4,0
Chongqing,2025-10-26_20:00,11171.7,6653.94,0,0,17825.6,0
Chongqing,2025-11-19_00:00,13016.2,4519.75,0,0,17536,0
Chongqing,2025-11-19_04:00,9694.02,4519.75,0,0,14064,149.727
Chongqing,2025-11-19_08:00,11428.5,3121.47,0,0,14500.5,49.4682
Chongqing,2025-11-19_12:00,16834,1567.1,0,0,18401.1,0
Chongqing,2025-11-19_16:00,18903.3,636.932,-117.184,117.184,19540.3,0
Chongqing,2025-11-19_20:00,15457.1,2312.17,0,0,17769.2,0
Chongqing,2025-12-16_00:00,14540,4770.95,0,0,19310.9,0
Chongqing,2025-12-16_04:00,11882.2,3918.17,0,0,15650.6,149.727
Chongqing,2025-12-16_08:00,14451.7,1742.34,0,0,16144.6,49.4682
Chongqing,2025-12-16_12:00,14564.3,5704.53,0,0,20268.8,0
Chongqing,2025-12-16_16:00,19044.7,2566.23,-117.184,117.184,21611,0
Chongqing,2025-12-16_20:00,14385.5,5399.16,0,0,19784.7,0
Henan,2025-01-22_00:00,41361,24518.7,0,0,65879.8,0
Henan,2025-01-22_04:00,36359.9,22031.7,0,0,58391.7,0
Henan,2025-01-22_08:00,36726.1,22766,0,0,59492,0
Henan,2025-01-22_12:00,36563.6,26597.8,0,0,63161.4,0
Henan,2025-01-22_16:00,47958.3,22690.6,0,0,70648.9,0
Henan,2025-01-22_20:00,43043.8,26247.6,0,0,69291.3,0
Henan,2025-02-08_00:00,38261.3,22592.8,0,0,60854.1,0
Henan,2025-02-08_04:00,33522,20301.2,0,0,53823.1,0
Henan,2025-02-08_08:00,33699.9,20977.7,0,0,54677.6,0
Henan,2025-02-08_12:00,40313.3,25320.6,0,0,65633.8,0
Henan,2025-02-08_16:00,40364.5,25136.2,0,0,65500.7,0
Henan,2025-02-08_20:00,39662.7,24185.8,0,0,63848.6,0
Henan,2025-03-21_00:00,34983.8,20872,0,0,55855.8,0
Henan,2025-03-21_04:00,30756.4,18754.9,0,0,49511.2,0
Henan,2025-03-21_08:00,31130.1,19379.9,0,0,50509.9,0
Henan,2025-03-21_12:00,36774.1,23391.9,0,0,60166,0
Henan,2025-03-21_16:00,37140.5,23221.7,0,0,60362.2,0
Henan,2025-03-21_20:00,38118.5,22343.7,0,0,60462.2,0
Henan,2025-04-11_00:00,34032.1,19884,0,0,53916,0
Henan,2025-04-11_04:00,29300.5,17867.1,0,0,47167.6,0
Henan,2025-04-11_08:00,28769.8,18462.5,0,0,47232.3,0
Henan,2025-04-11_12:00,34252,22284.7,0,0,56536.7,0
Henan,2025-04-11_16:00,35983.6,22122.4,0,0,58106,0
Henan,2025-04-11_20:00,34982.6,21286,0,0,56268.6,0
Henan,2025-05-22_00:00,33855.1,20484,0,0,54339.1,0
Henan,2025-05-22_04:00,30414.5,18406.3,0,0,48820.7,0
Henan,2025-05-22_08:00,25019.5,19019.7,0,0,44039.2,0
Henan,2025-05-22_12:00,28451.2,22957.1,0,0,51408.4,0
