ev_project,timepoint,load_zone,ev_charge,charging_power,ev_discharge,discharging_power,state_charge_of_ev
Chongqing-Ev,2025-01-22_00:00,Chongqing,1,5.81741,0,0,3868.58
Chongqing-Ev,2025-01-22_04:00,Chongqing,1,71.845,0,0,4111.75
Chongqing-Ev,2025-01-22_08:00,Chongqing,0,0,1,0,3929.37
Chongqing-Ev,2025-01-22_12:00,Chongqing,1,260.438,0,0,4153.06
Chongqing-Ev,2025-01-22_16:00,Chongqing,1,85.116,0,0,3868.58
Chongqing-Ev,2025-01-22_20:00,Chongqing,1,47.121,0,0,3868.58
Chongqing-Ev,2025-02-08_00:00,Chongqing,1,177.853,0,0,4706.21
Chongqing-Ev,2025-02-08_04:00,Chongqing,1,71.845,0,0,4956.01
Chongqing-Ev,2025-02-08_08:00,Chongqing,1,1.79613,0,0,3868.58
Chongqing-Ev,2025-02-08_12:00,Chongqing,1,260.438,0,0,4773.13
Chongqing-Ev,2025-02-08_16:00,Chongqing,1,0,0,0,4043.63
Chongqing-Ev,2025-02-08_20:00,Chongqing,0,0,1,0,4043.63
Chongqing-Ev,2025-03-21_00:00,Chongqing,0,0,1,0,6223.99
Chongqing-Ev,2025-03-21_04:00,Chongqing,0,0,1,0,6190.83
Chongqing-Ev,2025-03-21_08:00,Chongqing,0,0,1,0,5643.7
Chongqing-Ev,2025-03-21_12:00,Chongqing,0,0,1,0,4962.83
Chongqing-Ev,2025-03-21_16:00,Chongqing,0,0,1,0,3868.58
Chongqing-Ev,2025-03-21_20:00,Chongqing,1,669.293,0,0,6232.83
Chongqing-Ev,2025-04-11_00:00,Chongqing,1,393.839,0,0,5365.17
Chongqing-Ev,2025-04-11_04:00,Chongqing,1,71.845,0,0,5631.54
Chongqing-Ev,2025-04-11_08:00,Chongqing,0,0,1,0,4537.29
Chongqing-Ev,2025-04-11_12:00,Chongqing,1,0,0,0,4111.75
Chongqing-Ev,2025-04-11_16:00,Chongqing,0,0,1,0,3868.58
Chongqing-Ev,2025-04-11_20:00,Chongqing,1,141.363,0,0,3868.58
Chongqing-Ev,2025-05-22_00:00,Chongqing,1,361.792,0,0,5230.12
Chongqing-Ev,2025-05-22_04:00,Chongqing,1,71.845,0,0,5503.14
Chongqing-Ev,2025-05-22_08:00,Chongqing,1,1.79613,0,0,3868.58
Chongqing-Ev,2025-05-22_12:00,Chongqing,1,260.438,0,0,4602.92
Chongqing-Ev,2025-05-22_16:00,Chongqing,1,91.2243,0,0,4584.82
Chongqing-Ev,2025-05-22_20:00,Chongqing,1,0,0,0,3868.58
Chongqing-Ev,2025-06-16_00:00,Chongqing,1,0,0,0,4533.78
Chongqing-Ev,2025-06-16_04:00,Chongqing,1,71.845,0,0,4773.63
Chongqing-Ev,2025-06-16_08:00,Chongqing,1,1.79613,0,0,3868.58
Chongqing-Ev,2025-06-16_12:00,Chongqing,1,179.176,0,0,3868.58
Chongqing-Ev,2025-06-16_16:00,Chongqing,1,159.979,0,0,3868.58
Chongqing-Ev,2025-06-16_20:00,Chongqing,1,302.164,0,0,4569.15
Chongqing-Ev,2025-07-22_00:00,Chongqing,0,0,1,665.785,4344.77
Chongqing-Ev,2025-07-22_04:00,Chongqing,1,71.845,0,0,4591.26
Chongqing-Ev,2025-07-22_08:00,Chongqing,1,1.79613,0,0,3868.58
Chongqing-Ev,2025-07-22_12:00,Chongqing,1,260.438,0,0,4517.81
Chongqing-Ev,2025-07-22_16:00,Chongqing,1,98.897,0,0,4893.62
Chongqing-Ev,2025-07-22_20:00,Chongqing,1,561.048,0,0,7025.6
Chongqing-Ev,2025-08-19_00:00,Chongqing,1,786.621,0,0,11702.5
Chongqing-Ev,2025-08-19_04:00,Chongqing,1,71.845,0,0,11942.3
Chongqing-Ev,2025-08-19_08:00,Chongqing,1,1.79613,0,0,11037.3
Chongqing-Ev,2025-08-19_12:00,Chongqing,1,260.438,0,0,11346.1
Chongqing-Ev,2025-08-19_16:00,Chongqing,0,0,1,1778.18,3868.58
Chongqing-Ev,2025-08-19_20:00,Chongqing,1,1325.54,0,0,8726.57
Chongqing-Ev,2025-09-20_00:00,Chongqing,1,189.355,0,0,5599.3
Chongqing-Ev,2025-09-20_04:00,Chongqing,1,71.845,0,0,5855.73
Chongqing-Ev,2025-09-20_08:00,Chongqing,1,1.79613,0,0,4038.8
Chongqing-Ev,2025-09-20_12:00,Chongqing,0,0,1,0,3868.58
Chongqing-Ev,2025-09-20_16:00,Chongqing,1,319.958,0,0,3868.58
Chongqing-Ev,2025-09-20_20:00,Chongqing,1,361.503,0,0,4884.17
Chongqing-Ev,2025-10-26_00:00,Chongqing,0,0,1,0,4696.26
Chongqing-Ev,2025-10-26_04:00,Chongqing,1,71.845,0,0,4956.01
Chongqing-Ev,2025-10-26_08:00,Chongqing,1,1.79613,0,0,3868.58
Chongqing-Ev,2025-10-26_12:00,Chongqing,1,260.438,0,0,4432.7
Chongqing-Ev,2025-10-26_16:00,Chongqing,1,43.5215,0,0,3868.58
Chongqing-Ev,2025-10-26_20:00,Chongqing,1,246.026,0,0,4713.95
Chongqing-Ev,2025-11-19_00:00,Chongqing,1,182.034,0,0,4533.78
Chongqing-Ev,2025-11-19_04:00,Chongqing,1,71.845,0,0,4773.63
Chongqing-Ev,2025-11-19_08:00,Chongqing,1,1.79613,0,0,3868.58
Chongqing-Ev,2025-11-19_12:00,Chongqing,1,260.438,0,0,4007.16
Chongqing-Ev,2025-11-19_16:00,Chongqing,1,123.511,0,0,3868.58
Chongqing-Ev,2025-11-19_20:00,Chongqing,0,0,1,0,3868.58
Chongqing-Ev,2025-12-16_00:00,Chongqing,0,0,1,0,3868.58
Chongqing-Ev,2025-12-16_04:00,Chongqing,1,71.845,0,0,4125.01
Chongqing-Ev,2025-12-16_08:00,Chongqing,0,0,1,0,3942.63
Chongqing-Ev,2025-12-16_12:00,Chongqing,1,70.3907,0,0,4210.12
Chongqing-Ev,2025-12-16_16:00,Chongqing,0,0,1,0,3966.95
Chongqing-Ev,2025-12-16_20:00,Chongqing,0,0,1,0,3877.42
Henan-Ev,2025-01-22_00:00,Henan,1,1091.33,0,0,15850.1
Henan-Ev,2025-01-22_04:00,Henan,1,217.592,0,0,16666.9
Henan-Ev,2025-01-22_08:00,Henan,1,5.43979,0,0,11716.5
Henan-Ev,2025-01-22_12:00,Henan,1,610.49,0,0,11716.5
Henan-Ev,2025-01-22_16:00,Henan,1,1040.39,0,0,11987.6
Henan-Ev,2025-01-22_20:00,Henan,1,0,0,0,11716.5
Henan-Ev,2025-02-08_00:00,Henan,1,1146.83,0,0,15940.5
Henan-Ev,2025-02-08_04:00,Henan,1,217.592,0,0,16666.9
Henan-Ev,2025-02-08_08:00,Henan,1,5.43979,0,0,11716.5
Henan-Ev,2025-02-08_12:00,Henan,1,610.49,0,0,11716.5
Henan-Ev,2025-02-08_16:00,Henan,1,239.615,0,0,12258.8
Henan-Ev,2025-02-08_20:00,Henan,0,0,1,0,11716.5
Henan-Ev,2025-03-21_00:00,Henan,1,715.537,0,0,17229.3
Henan-Ev,2025-03-21_04:00,Henan,1,0,0,0,17219.3
Henan-Ev,2025-03-21_08:00,Henan,1,5.43979,0,0,11716.5
Henan-Ev,2025-03-21_12:00,Henan,1,67.8322,0,0,11716.5
Henan-Ev,2025-03-21_16:00,Henan,0,0,1,0,11716.5
Henan-Ev,2025-03-21_20:00,Henan,1,1398.56,0,0,14590.6
Henan-Ev,2025-04-11_00:00,Henan,1,1348.56,0,0,16747.3
Henan-Ev,2025-04-11_04:00,Henan,0,0,1,0,16666.9
Henan-Ev,2025-04-11_08:00,Henan,1,5.43979,0,0,11716.5
Henan-Ev,2025-04-11_12:00,Henan,1,271.329,0,0,11716.5
Henan-Ev,2025-04-11_16:00,Henan,1,581.419,0,0,11716.5
Henan-Ev,2025-04-11_20:00,Henan,1,71.356,0,0,11716.5
Henan-Ev,2025-05-22_00:00,Henan,1,249.151,0,0,12556.1
Henan-Ev,2025-05-22_04:00,Henan,1,217.592,0,0,13352.8
Henan-Ev,2025-05-22_08:00,Henan,1,5.43979,0,0,11716.5
Henan-Ev,2025-05-22_12:00,Henan,1,788.77,0,0,12136.2
Henan-Ev,2025-05-22_16:00,Henan,1,374.068,0,0,11716.5
Henan-Ev,2025-05-22_20:00,Henan,1,570.848,0,0,11716.5
Henan-Ev,2025-06-16_00:00,Henan,1,1006.84,0,0,15502.3
Henan-Ev,2025-06-16_04:00,Henan,1,34.272,0,0,15562.2
Henan-Ev,2025-06-16_08:00,Henan,1,5.43979,0,0,11716.5
Henan-Ev,2025-06-16_12:00,Henan,1,271.329,0,0,11716.5
Henan-Ev,2025-06-16_16:00,Henan,1,872.129,0,0,11716.5
Henan-Ev,2025-06-16_20:00,Henan,1,71.356,0,0,11716.5
Henan-Ev,2025-07-22_00:00,Henan,1,586.708,0,0,13946
Henan-Ev,2025-07-22_04:00,Henan,0,0,1,0,13925.9
Henan-Ev,2025-07-22_08:00,Henan,0,0,1,0,11716.5
Henan-Ev,2025-07-22_12:00,Henan,0,0,1,0.0028275,11716.5
Henan-Ev,2025-07-22_16:00,Henan,1,387.613,0,0,11716.5
Henan-Ev,2025-07-22_20:00,Henan,1,570.848,0,0,11716.5
Henan-Ev,2025-08-19_00:00,Henan,1,889.747,0,0,15084.1
Henan-Ev,2025-08-19_04:00,Henan,0,0,1,0,14993.7
Henan-Ev,2025-08-19_08:00,Henan,0,0,1,0,12232
Henan-Ev,2025-08-19_12:00,Henan,1,0,0,0,11716.5
Henan-Ev,2025-08-19_16:00,Henan,1,678.322,0,0,11716.5
Henan-Ev,2025-08-19_20:00,Henan,1,570.848,0,0,11716.5
Henan-Ev,2025-09-20_00:00,Henan,1,88.8206,0,0,11973.7
Henan-Ev,2025-09-20_04:00,Henan,1,217.592,0,0,12800.5
Henan-Ev,2025-09-20_08:00,Henan,1,5.43979,0,0,11716.5
Henan-Ev,2025-09-20_12:00,Henan,1,610.49,0,0,11716.5
Henan-Ev,2025-09-20_16:00,Henan,1,484.516,0,0,11716.5
Henan-Ev,2025-09-20_20:00,Henan,1,71.356,0,0,11716.5
Henan-Ev,2025-10-26_00:00,Henan,1,95.0598,0,0,15683.3
Henan-Ev,2025-10-26_04:00,Henan,0,0,1,0,15582.9
Henan-Ev,2025-10-26_08:00,Henan,0,0,1,0,11716.5
Henan-Ev,2025-10-26_12:00,Henan,1,717.083,0,0,13925.9
Henan-Ev,2025-10-26_16:00,Henan,1,0,0,0,11716.5
Henan-Ev,2025-10-26_20:00,Henan,1,1102.13,0,0,15362.3
Henan-Ev,2025-11-19_00:00,Henan,1,709.155,0,0,14304.1
Henan-Ev,2025-11-19_04:00,Henan,1,217.592,0,0,15030.6
Henan-Ev,2025-11-19_08:00,Henan,0,0,1,0,11716.5
Henan-Ev,2025-11-19_12:00,Henan,1,788.77,0,0,14713.8
Henan-Ev,2025-11-19_16:00,Henan,1,0,0,0,12504.4
Henan-Ev,2025-11-19_20:00,Henan,1,78.0731,0,0,11716.5
Henan-Ev,2025-12-16_00:00,Henan,1,463.79,0,0,14547.9
Henan-Ev,2025-12-16_04:00,Henan,0,0,1,0,14457.5
Henan-Ev,2025-12-16_08:00,Henan,1,5.43979,0,0,11716.5
Henan-Ev,2025-12-16_12:00,Henan,1,788.77,0,0,14198.3
Henan-Ev,2025-12-16_16:00,Henan,0,0,1,0.019305,13461.7
Henan-Ev,2025-12-16_20:00,Henan,1,0,0,0,12919.4
Hubei-Ev,2025-01-22_00:00,Hubei,1,189.957,0,0,6201.04
Hubei-Ev,2025-01-22_04:00,Hubei,1,102.933,0,0,6577.93
Hubei-Ev,2025-01-22_08:00,Hubei,1,2.57332,0,0,5542.54
Hubei-Ev,2025-01-22_12:00,Hubei,1,373.132,0,0,6106.89
Hubei-Ev,2025-01-22_16:00,Hubei,1,34.8493,0,0,5542.54
Hubei-Ev,2025-01-22_20:00,Hubei,1,135.021,0,0,5542.54
Hubei-Ev,2025-02-08_00:00,Hubei,1,5.00079,0,0,5542.54
Hubei-Ev,2025-02-08_04:00,Hubei,1,102.933,0,0,5886.18
Hubei-Ev,2025-02-08_08:00,Hubei,1,2.57332,0,0,5895.96
Hubei-Ev,2025-02-08_12:00,Hubei,1,373.132,0,0,6216.44
Hubei-Ev,2025-02-08_16:00,Hubei,1,281.065,0,0,5542.54
Hubei-Ev,2025-02-08_20:00,Hubei,1,33.7553,0,0,5542.54
Hubei-Ev,2025-03-21_00:00,Hubei,1,462.084,0,0,7241.45
Hubei-Ev,2025-03-21_04:00,Hubei,1,102.933,0,0,7623.1
Hubei-Ev,2025-03-21_08:00,Hubei,1,2.57332,0,0,5542.54
Hubei-Ev,2025-03-21_12:00,Hubei,1,373.132,0,0,6472.7
Hubei-Ev,2025-03-21_16:00,Hubei,1,121.946,0,0,5542.54
Hubei-Ev,2025-03-21_20:00,Hubei,1,67.5107,0,0,5542.54
Hubei-Ev,2025-04-11_00:00,Hubei,1,161.619,0,0,6093.35
Hubei-Ev,2025-04-11_04:00,Hubei,0,0,1,0,6055.35
Hubei-Ev,2025-04-11_08:00,Hubei,1,2.57332,0,0,5542.54
Hubei-Ev,2025-04-11_12:00,Hubei,1,373.132,0,0,5863.02
Hubei-Ev,2025-04-11_16:00,Hubei,1,448.665,0,0,6696.98
Hubei-Ev,2025-04-11_20:00,Hubei,0,0,1,0,5542.54
Hubei-Ev,2025-05-22_00:00,Hubei,1,532.511,0,0,7521.75
Hubei-Ev,2025-05-22_04:00,Hubei,1,102.933,0,0,7884.39
Hubei-Ev,2025-05-22_08:00,Hubei,1,2.57332,0,0,5542.54
Hubei-Ev,2025-05-22_12:00,Hubei,1,373.132,0,0,5984.96
Hubei-Ev,2025-05-22_16:00,Hubei,1,404.491,0,0,6825.25
Hubei-Ev,2025-05-22_20:00,Hubei,0,0,1,0,5542.54
Hubei-Ev,2025-06-16_00:00,Hubei,0,0,1,0,7874.29
Hubei-Ev,2025-06-16_04:00,Hubei,1,102.933,0,0,8260.69
Hubei-Ev,2025-06-16_08:00,Hubei,1,2.57332,0,0,6180.13
Hubei-Ev,2025-06-16_12:00,Hubei,1,373.132,0,0,7110.29
Hubei-Ev,2025-06-16_16:00,Hubei,0,0,1,0,5542.54
Hubei-Ev,2025-06-16_20:00,Hubei,1,849.905,0,0,7874.29
Hubei-Ev,2025-07-22_00:00,Hubei,1,1135.98,0,0,9795.91
Hubei-Ev,2025-07-22_04:00,Hubei,1,102.933,0,0,10177.6
Hubei-Ev,2025-07-22_08:00,Hubei,1,2.57332,0,0,8097
Hubei-Ev,2025-07-22_12:00,Hubei,0,0,1,0,6999.58
Hubei-Ev,2025-07-22_16:00,Hubei,0,0,1,0.019305,6825.3
Hubei-Ev,2025-07-22_20:00,Hubei,0,0,1,0.014391,5542.54
Hubei-Ev,2025-08-19_00:00,Hubei,1,549.636,0,0,7605.82
Hubei-Ev,2025-08-19_04:00,Hubei,1,102.933,0,0,7996.97
Hubei-Ev,2025-08-19_08:00,Hubei,1,2.57332,0,0,7484.16
Hubei-Ev,2025-08-19_12:00,Hubei,0,0,1,0.0028275,6752.54
Hubei-Ev,2025-08-19_16:00,Hubei,0,0,1,0.019305,6055.68
Hubei-Ev,2025-08-19_20:00,Hubei,0,0,1,0.014391,5542.54
Hubei-Ev,2025-09-20_00:00,Hubei,1,630.287,0,0,7931.3
Hubei-Ev,2025-09-20_04:00,Hubei,1,102.933,0,0,8293.94
Hubei-Ev,2025-09-20_08:00,Hubei,1,2.57332,0,0,7519.85
Hubei-Ev,2025-09-20_12:00,Hubei,1,373.132,0,0,7962.26
Hubei-Ev,2025-09-20_16:00,Hubei,0,0,1,0,6568.71
Hubei-Ev,2025-09-20_20:00,Hubei,0,0,1,0,5542.54
Hubei-Ev,2025-10-26_00:00,Hubei,1,695.037,0,0,8164.68
Hubei-Ev,2025-10-26_04:00,Hubei,0,0,1,0,8145.68
Hubei-Ev,2025-10-26_08:00,Hubei,1,2.57332,0,0,5542.54
Hubei-Ev,2025-10-26_12:00,Hubei,1,366.725,0,0,5716.74
Hubei-Ev,2025-10-26_16:00,Hubei,0,0,1,0,5542.54
Hubei-Ev,2025-10-26_20:00,Hubei,0,0,1,0,5542.54
Hubei-Ev,2025-11-19_00:00,Hubei,1,250.8,0,0,6495.58
Hubei-Ev,2025-11-19_04:00,Hubei,1,102.933,0,0,6839.22
Hubei-Ev,2025-11-19_08:00,Hubei,1,2.57332,0,0,5542.54
Hubei-Ev,2025-11-19_12:00,Hubei,1,224.619,0,0,5542.54
Hubei-Ev,2025-11-19_16:00,Hubei,1,137.522,0,0,5542.54
Hubei-Ev,2025-11-19_20:00,Hubei,0,0,1,0,5542.54
Hubei-Ev,2025-12-16_00:00,Hubei,1,0,0,0,7754.53
Hubei-Ev,2025-12-16_04:00,Hubei,1,102.933,0,0,8145.68
Hubei-Ev,2025-12-16_08:00,Hubei,1,2.57332,0,0,5542.54
Hubei-Ev,2025-12-16_12:00,Hubei,0,0,1,0,5542.54
Hubei-Ev,2025-12-16_16:00,Hubei,1,137.522,0,0,5542.54
Hubei-Ev,2025-12-16_20:00,Hubei,1,723.792,0,0,7779.87
Hunan-Ev,2025-01-22_00:00,Hunan,1,6.11353,0,0,5081.87
Hunan-Ev,2025-01-22_04:00,Hunan,1,5.73144,0,0,5081.87
Hunan-Ev,2025-01-22_08:00,Hunan,0,0,1,0,5081.87
Hunan-Ev,2025-01-22_12:00,Hunan,1,342.119,0,0,5934.72
Hunan-Ev,2025-01-22_16:00,Hunan,1,421.308,0,0,6257.96
Hunan-Ev,2025-01-22_20:00,Hunan,0,0,1,0,5081.87
Hunan-Ev,2025-02-08_00:00,Hunan,1,0,0,0,5723.72
Hunan-Ev,2025-02-08_04:00,Hunan,1,84.4238,0,0,6040.17
Hunan-Ev,2025-02-08_08:00,Hunan,0,0,1,0,5081.87
Hunan-Ev,2025-02-08_12:00,Hunan,1,117.686,0,0,5081.87
Hunan-Ev,2025-02-08_16:00,Hunan,1,568.578,0,0,6923.04
Hunan-Ev,2025-02-08_20:00,Hunan,1,0,0,0,5746.95
Hunan-Ev,2025-03-21_00:00,Hunan,1,0,0,0,5081.87
Hunan-Ev,2025-03-21_04:00,Hunan,1,9.1703,0,0,5081.87
Hunan-Ev,2025-03-21_08:00,Hunan,0,0,1,0,5081.87
Hunan-Ev,2025-03-21_12:00,Hunan,1,147.107,0,0,5081.87
Hunan-Ev,2025-03-21_16:00,Hunan,1,531.113,0,0,5822.38
Hunan-Ev,2025-03-21_20:00,Hunan,1,0,0,0,5116.72
Hunan-Ev,2025-04-11_00:00,Hunan,1,549.769,0,0,7136.15
Hunan-Ev,2025-04-11_04:00,Hunan,1,94.3777,0,0,7468.65
Hunan-Ev,2025-04-11_08:00,Hunan,1,2.35944,0,0,5081.87
Hunan-Ev,2025-04-11_12:00,Hunan,1,235.371,0,0,5081.87
Hunan-Ev,2025-04-11_16:00,Hunan,1,729.803,0,0,6257.96
Hunan-Ev,2025-04-11_20:00,Hunan,1,0,0,0,5081.87
Hunan-Ev,2025-05-22_00:00,Hunan,1,356.811,0,0,6408.72
Hunan-Ev,2025-05-22_04:00,Hunan,1,94.3777,0,0,6749.93
Hunan-Ev,2025-05-22_08:00,Hunan,1,2.35944,0,0,5081.87
Hunan-Ev,2025-05-22_12:00,Hunan,1,199.754,0,0,5281.93
Hunan-Ev,2025-05-22_16:00,Hunan,1,356.577,0,0,5199.48
Hunan-Ev,2025-05-22_20:00,Hunan,0,0,1,0,5081.87
Hunan-Ev,2025-06-16_00:00,Hunan,1,411.45,0,0,6639.58
Hunan-Ev,2025-06-16_04:00,Hunan,1,94.3777,0,0,6989.5
Hunan-Ev,2025-06-16_08:00,Hunan,1,2.35944,0,0,5081.87
Hunan-Ev,2025-06-16_12:00,Hunan,1,342.119,0,0,5599.32
Hunan-Ev,2025-06-16_16:00,Hunan,1,416.723,0,0,5905.14
Hunan-Ev,2025-06-16_20:00,Hunan,0,0,1,0,5081.87
Hunan-Ev,2025-07-22_00:00,Hunan,1,680.369,0,0,7609.2
Hunan-Ev,2025-07-22_04:00,Hunan,0,0,1,0,7596.13
Hunan-Ev,2025-07-22_08:00,Hunan,0,0,1,0,6637.83
Hunan-Ev,2025-07-22_12:00,Hunan,1,342.119,0,0,7267.08
