GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
Anhui-Coal-2022,2025.01.22.00,Coal,343985.21258787246
Anhui-Coal-2022,2025.01.22.04,Coal,286654.34382322704
Anhui-Coal-2022,2025.01.22.08,Coal,329993.0431098928
Anhui-Coal-2022,2025.01.22.12,Coal,326836.8851449913
Anhui-Coal-2022,2025.01.22.16,Coal,372341.0765236381
Anhui-Coal-2022,2025.01.22.20,Coal,389347.2465276018
Anhui-Coal-2022,2025.02.08.00,Coal,243940.47564217407
Anhui-Coal-2022,2025.02.08.04,Coal,165249.99962856952
Anhui-Coal-2022,2025.02.08.08,Coal,164463.27697993696
Anhui-Coal-2022,2025.02.08.12,Coal,231244.1712609762
Anhui-Coal-2022,2025.02.08.16,Coal,312274.4972609762
Anhui-Coal-2022,2025.02.08.20,Coal,324970.801642174
Anhui-Coal-2022,2025.03.21.00,Coal,282319.33208050206
Anhui-Coal-2022,2025.03.21.04,Coal,231506.99051248512
Anhui-Coal-2022,2025.03.21.08,Coal,246940.0243203845
Anhui-Coal-2022,2025.03.21.12,Coal,261068.13905116453
Anhui-Coal-2022,2025.03.21.16,Coal,325398.34031557594
Anhui-Coal-2022,2025.03.21.20,Coal,317325.485765116
Anhui-Coal-2022,2025.04.11.00,Coal,261092.2024288633
Anhui-Coal-2022,2025.04.11.04,Coal,217576.83535738607
Anhui-Coal-2022,2025.04.11.08,Coal,201177.27694350932
Anhui-Coal-2022,2025.04.11.12,Coal,251471.59617938666
Anhui-Coal-2022,2025.04.11.16,Coal,312914.14861428284
Anhui-Coal-2022,2025.04.11.20,Coal,306778.76080810686
Anhui-Coal-2022,2025.05.22.00,Coal,159992.75359214516
Anhui-Coal-2022,2025.05.22.04,Coal,108382.18791725961
Anhui-Coal-2022,2025.05.22.08,Coal,73420.19181491781
Anhui-Coal-2022,2025.05.22.12,Coal,140165.82073757038
Anhui-Coal-2022,2025.05.22.16,Coal,221196.14673757038
Anhui-Coal-2022,2025.05.22.20,Coal,236179.7791122143
Anhui-Coal-2022,2025.06.16.00,Coal,228591.38534752984
Anhui-Coal-2022,2025.06.16.04,Coal,154852.2287838105
Anhui-Coal-2022,2025.06.16.08,Coal,104899.89691806519
Anhui-Coal-2022,2025.06.16.12,Coal,185930.2229180652
Anhui-Coal-2022,2025.06.16.16,Coal,266960.5489180652
Anhui-Coal-2022,2025.06.16.20,Coal,309621.71134752984
Anhui-Coal-2022,2025.07.22.00,Coal,273115.611676148
Anhui-Coal-2022,2025.07.22.04,Coal,192085.28567614805
Anhui-Coal-2022,2025.07.22.08,Coal,235346.68106713312
Anhui-Coal-2022,2025.07.22.12,Coal,259714.4568383395
Anhui-Coal-2022,2025.07.22.16,Coal,298748.2511410409
Anhui-Coal-2022,2025.07.22.20,Coal,339897.3251145392
Anhui-Coal-2022,2025.08.19.00,Coal,300551.3747152158
Anhui-Coal-2022,2025.08.19.04,Coal,234809.08057803815
Anhui-Coal-2022,2025.08.19.08,Coal,262486.03641665884
Anhui-Coal-2022,2025.08.19.12,Coal,298655.83640949853
Anhui-Coal-2022,2025.08.19.16,Coal,373319.79551187315
Anhui-Coal-2022,2025.08.19.20,Coal,341361.14370615483
